model,label_noise_p,accuracy_mean,accuracy_std,precision_m_mean,precision_m_std,recall_m_mean,recall_m_std,specificity_b_mean,specificity_b_std,f1_m_mean,f1_m_std,roc_auc_mean,roc_auc_std
logreg_baseline,0.0,0.9771774569166279,0.013282845364893986,0.9862579281183933,0.020388267993642604,0.953045404208195,0.04665543606892094,0.9916275430359937,0.012444758925188247,0.9685349494446346,0.01909656089096241,0.9960349305133125,0.006147716335155112
logreg_baseline,0.02,0.9718987734823784,0.009566806708898567,0.9859357696566999,0.02086391669154139,0.9388704318936878,0.03513026134518941,0.9916275430359937,0.012444758925188247,0.9612512177409356,0.013793383514996085,0.9953838881696726,0.005671597060837563
logreg_baseline,0.05,0.9648812296227295,0.020538989071404817,0.9804761904761904,0.02078395508837639,0.9248062015503876,0.05544900372918852,0.988849765258216,0.011632291664568464,0.9509455575993904,0.02992082228574124,0.9941924804641804,0.0075968187530408285
logreg_baseline,0.1,0.9473063188945815,0.024756201794794187,0.9363526773104496,0.047092736192780725,0.9248062015503876,0.05544900372918852,0.960680751173709,0.03369632707376285,0.929069245931991,0.032767705925328176,0.9884669775760507,0.006281575909330595
logreg_baseline,0.15,0.943766495885732,0.015910705149820806,0.9343268926195755,0.027358941983452557,0.9153931339977852,0.06039550753730992,0.9607589984350546,0.01840349970013237,0.9232340584616334,0.024547193755798606,0.9863497522603322,0.006463398168434787
logreg_robust,0.0,0.9754230709517155,0.009577288676050575,0.9735177865612649,0.039118455466613127,0.9623477297895903,0.031578457082190196,0.9832550860719875,0.02488951785037648,0.966966577560678,0.012474703977184679,0.9964972652452181,0.005300013467921174
logreg_robust,0.02,0.9806862288464524,0.009587947736562043,0.9862579281183933,0.020388267993642604,0.9624584717607974,0.035290913888615376,0.9916275430359937,0.012444758925188247,0.9736538895229243,0.013515334032855854,0.9961016963105072,0.00544657291437771
logreg_robust,0.05,0.9718987734823784,0.015665800212548556,0.9862579281183933,0.020388267993642604,0.9388704318936878,0.056268473975346615,0.9916275430359937,0.012444758925188247,0.9608196256381168,0.023054506540004453,0.9956412246086337,0.00667085396467478
logreg_robust,0.1,0.9578326346840553,0.02585278556779899,0.9533417774882397,0.030458552864167772,0.93421926910299,0.0723088681260754,0.9719092331768389,0.01991926932435319,0.9421210706504825,0.03786636659971309,0.9927385588292893,0.0048290668756017
logreg_robust,0.15,0.9595559695699425,0.021194209632482017,0.9716500553709857,0.030877455240753558,0.92015503875969,0.06259297464337797,0.9831377151799687,0.018371658811273495,0.9437298274507576,0.031191911710309397,0.9913083366694568,0.0067479325010772855
rf_baseline,0.0,0.956078248719143,0.010680707992909232,0.9534975258659468,0.029615289467398862,0.9293466223698783,0.0494735960636406,0.9720266040688577,0.019677863914232603,0.9400291108449224,0.01616190483171917,0.9908242521450841,0.006471730071820024
rf_baseline,0.02,0.9525694767893184,0.014613813539202113,0.9406131549609811,0.03749014350376925,0.934108527131783,0.047627095047428625,0.9636150234741784,0.02530780327256576,0.9361032910635542,0.020421779792280242,0.9893254119895947,0.005495894035215392
rf_baseline,0.05,0.9578326346840551,0.00726584467480256,0.9424275362318841,0.04463041654606647,0.948062015503876,0.038524440331169856,0.9636150234741784,0.03062751890731313,0.9438142374815899,0.008239623046772535,0.9877354458360845,0.009292706796994699
rf_baseline,0.1,0.9508150908244062,0.026710392392813632,0.9401163707546687,0.039334803257210366,0.9294573643410853,0.07354717731691492,0.9636541471048513,0.026984813456428072,0.9328547198397386,0.03828557742434442,0.9892456483084553,0.009106315515992636
rf_baseline,0.15,0.9402577239559073,0.01682593551172693,0.93254662004662,0.042601867659466774,0.9106312292358805,0.0906323415201148,0.957981220657277,0.02812224425455162,0.9175042721758349,0.029612575531046008,0.9801888852494814,0.013781462202649107
rf_robust,0.0,0.9543238627542306,0.015640160650823333,0.934055959176613,0.050982621854734685,0.948062015503876,0.038524440331169856,0.9580594679186228,0.03541137064255987,0.9395354239256678,0.019090777930215876,0.9912879516548039,0.005771154728419773
rf_robust,0.02,0.9525694767893184,0.0132321642120649,0.929162121900722,0.04746283441458483,0.948062015503876,0.02593999188263113,0.955281690140845,0.03313219491631542,0.9374172709516296,0.015355204101326759,0.9910171624059604,0.005201187004298783
rf_robust,0.05,0.9543238627542306,0.007228260030324607,0.9329153411099329,0.037241623000807515,0.948062015503876,0.038524440331169856,0.9580203442879499,0.026143251962296655,0.939284620756851,0.009307034212562968,0.988580232471487,0.009724273775996706
rf_robust,0.1,0.9525850023288308,0.015858238563173165,0.9302376485303314,0.053422863379581645,0.9480620155038759,0.04204258810834566,0.9552425665101723,0.03735010918361523,0.9373729022725007,0.019546693432866108,0.9907741886287578,0.009182606967794688
rf_robust,0.15,0.952585002328831,0.018122651107758528,0.942951977049538,0.049897850908782064,0.934108527131783,0.06460871104265069,0.9635367762128325,0.03673628713786095,0.936069316302748,0.025049401600841317,0.986036914856928,0.011390587035977933
svm_rbf_baseline,0.0,0.9736531594472908,0.0138452431632549,0.972121212121212,0.024108293708348733,0.9575858250276855,0.041916969838566985,0.9832550860719875,0.01519702528986225,0.9641222585886016,0.019290610161623166,0.9951811211801385,0.0063529781043994114
svm_rbf_baseline,0.02,0.98067070330694,0.011431452739892762,0.9908033826638478,0.012594373308357009,0.9575858250276855,0.041916969838566985,0.9944053208137715,0.00766114216692097,0.973306654499946,0.01623279692688989,0.9955766901148493,0.005767893351444846
svm_rbf_baseline,0.05,0.9789318428815401,0.013285408366295388,0.9906976744186047,0.012737733895468997,0.9529346622369879,0.04403299081300342,0.9944053208137715,0.00766114216692097,0.9708301599176392,0.01903640114698746,0.9953823284235993,0.00649178802951089
svm_rbf_baseline,0.1,0.9666200900481291,0.026591424170982154,0.9757186155371068,0.01657121928898708,0.93421926910299,0.0723088681260754,0.9859937402190923,0.009821511962143537,0.9532211926992353,0.039030022078303285,0.9951820960214344,0.0047824990798973855
svm_rbf_baseline,0.15,0.9648501785437043,0.013870334008514276,0.9765550239234451,0.022783863063749486,0.929235880398671,0.055377076077002506,0.9860328638497652,0.013987450322849145,0.9511066064728186,0.020690992174191167,0.9953742913986936,0.0032933330950245636
svm_rbf_robust,0.0,0.9701288619779538,0.013288333666260168,0.9730632411067193,0.03561958976537362,0.948062015503876,0.048316380647605316,0.9832550860719875,0.022810116823737774,0.9591546401558866,0.018420316815531704,0.9953773675645605,0.005364826731523169
svm_rbf_robust,0.02,0.971883247942866,0.01142873760886499,0.9780632411067194,0.03765587153711247,0.948062015503876,0.048316380647605316,0.9860719874804381,0.024056420286403587,0.9614467353659952,0.01595102335954856,0.9959101941537251,0.005102941454309825
svm_rbf_robust,0.05,0.9789007918025151,0.01595455989822609,0.9953488372093023,0.010400316174417643,0.948062015503876,0.048316380647605316,0.9972222222222221,0.006211299937499393,0.9704835538551464,0.02254763536578042,0.9958449881026036,0.005503463681113602
svm_rbf_robust,0.1,0.9648657040832169,0.01958885382223599,0.9727987188962798,0.036445503915858844,0.934108527131783,0.06460871104265069,0.9832550860719875,0.022810116823737802,0.9512564619017316,0.028342273935681932,0.9944558825823157,0.005046401646901547
svm_rbf_robust,0.15,0.9595870206489675,0.0159099476468912,0.9763436074329587,0.02304258808288378,0.9151716500553709,0.06097524737515383,0.9860328638497652,0.013987450322849145,0.9433231057591085,0.02423679825739713,0.9953359368094874,0.0033168042284935275
